X,Y,OBJECTID,NAME,ALT_NAME,LABEL,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LONGITUDE,MAR_LATITUDE,MARID
-77.009038289174782,38.88980193441202,1,EXHIBITION HALL AT THE U.S. CAPITOL VISITOR CENTER,U.S. CAPITOL VISITOR CENTER,U.S. Capitol Visitor Center,,399216.07,135772.41,-77.009036,38.88979448,294394
-77.037355669212815,38.905861827567719,2,THE WILDERNESS SOCIETY - ANSEL ADAMS COLLECTION,,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,396760.09,137555.81,-77.03735337,38.90585437,301103
-77.070116989378818,38.906318255979166,3,SPAGNUOLO ART GALLERY,GEORGETOWN UNIVERSITY,Spagnuolo Art Gallery,1221 36TH STREET NW,393918.52,137608.15,-77.07011468,38.9063108,300017
-77.054430892875828,38.930618664144212,4,NATIONAL ZOOLOGICAL PARK,NATIONAL ZOO,National Zoo,3001 CONNECTICUT AVENUE NW,395280.68,140304.77,-77.05442859,38.93061121,293230
-77.012903437125672,38.888255553498873,5,UNITED STATES BOTANIC GARDEN,,United States Botanic Garden,100 MARYLAND AVENUE SW,398880.72,135600.79,-77.01290115,38.8882481,297683
-77.047705174760679,38.910723829014906,6,ANDERSON HOUSE,THE SOCIETY OF THE CINCINNATI,Anderson House,2118 MASSACHUSETTS AVENUE NW,395862.69,138095.95,-77.04770288,38.91071637,293220
-77.021695937376435,38.89586794801658,7,CLARA BARTON MISSING SOLDIERS OFFICE MUSEUM,,Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,398118.1,136445.97,-77.02169365,38.8958605,279777
-77.042669375315043,38.910937833055044,8,WHITTEMORE HOUSE,WOMAN'S NATIONAL DEMOCRATIC CLUB,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,396299.46,138119.49,-77.04266708,38.91093038,225724
-76.991885195624732,38.863247679352291,9,AMERICA'S ISLAMIC HERITAGE MUSEUM,,America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,400704.47,132824.68,-76.99188292,38.86324023,147815
-77.017140028865569,38.884838219399612,10,MUSEUM OF THE BIBLE,,Museum of the Bible,400 4TH STREET SW,398513.09,135221.5,-77.017138,38.884831,311513
-77.024332311601484,38.934831902134121,11,"THE HISTORY OF CANNABIS MUSEUM
",The Cannabis Museum,The History of Cannabis  ,"3626 GEORGIA AVENUE NW
",397890.55,140771.35,-77.02433,38.934824,232148
-77.010902703565151,38.895842248904195,12,D.C. FIRE AND EMS MUSEUM,,D.C. Fire and EMS Museum,439 NEW JERSEY AVENUE NW,399054.4,136442.95,-77.0109,38.895835,237163
-77.055867660038615,38.910861011527317,13,DUMBARTON HOUSE,,Dumbarton House,2715 Q STREET NW,395154.76,138111.58,-77.05586536,38.91085356,273151
-77.052619650507197,38.943641711943158,14,HILLWOOD MUSEUM,"HILLWOOD ESTATE, MUSEUM AND GARDENS",Hillwood Museum,4155 LINNEAN AVENUE NW,395438.56,141750.35,-77.05261735,38.94363425,284839
-77.039742730457604,38.895854463821877,15,CORCORAN GALLERY OF ART,CORCORAN MUSEUM AND COLLEGE OF ART + DESIGN,Corcoran Gallery of Art,500 17TH STREET NW,396552.56,136445,-77.03974044,38.89584701,279802
-77.046417132959817,38.898802962763945,16,THE TEXTILE MUSUEM,,The Textile Museum,701 21ST STREET NW,395973.73,136772.58,-77.04641484,38.89879551,311648
-77.051687873076901,38.959924944121283,17,ROCK CREEK PARK NATURE CENTER AND PLANETARIUM,,Rock Creek Park Nature Center and Planetarium,5200 GLOVER ROAD NW,395520.36,143557.89,-77.05168557,38.95991748,308551
-77.029163689540994,38.90005647268179,18,NATIONAL MUSEUM OF WOMEN IN THE ARTS,,National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,397470.43,136911.11,-77.02916139,38.90004902,279010
-77.044606199231552,38.908030206509899,19,HEURICH HOUSE MUSEUM,THE BREWMASTER'S CASTLE,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,396131.32,137796.8,-77.04460391,38.90802275,241060
-77.038233564900722,38.905975499207166,20,CHARLES SUMNER SCHOOL,,Charles Sumner School,1201 17TH STREET NW,396683.95,137568.46,-77.03823126,38.90596805,301200
-77.027349814909755,38.888275675013404,21,FREER GALLERY OF ART,,Freer Gallery of Art,,397627.38,135603.3,-77.027348,38.888268,294417
-77.042115774772853,38.912820597210263,22,NATIONAL MUSEUM OF AMERICAN JEWISH MILITARY HISTORY,,National Museum of American Jewish Military History,1811 R STREET NW,396347.57,138328.47,-77.04211348,38.91281314,243292
-77.022974390164507,38.898188438640673,23,DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,NATIONAL PORTRAIT GALLERY,National Portrait Gallery,,398007.26,136703.59,-77.022972,38.898181,294248
-77.046854545903884,38.911509790861587,24,THE PHILLIPS COLLECTION,,The Phillips Collection,1600 21ST STREET NW,395936.51,138183.16,-77.04685225,38.91150234,243333
-77.043735840095039,38.914595996036901,25,L. RON HUBBARD HOUSE,L. RON HUBBARD HOUSE,L. Ron Hubbard House,1812 19TH STREET NW,396207.16,138525.62,-77.04373354,38.91458854,240991
-77.022974390164507,38.898188438640673,26,DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,SMITHSONIAN AMERICAN ART MUSEUM,Smithsonian American Art Museum,,398007.26,136703.59,-77.022972,38.898181,294248
-77.025366126067169,38.916443542607048,27,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,397800.35,138730.11,-77.02536383,38.91643609,310615
-77.022945050789318,38.902629565845544,28,HISTORICAL SOCIETY OF WASHINGTON DC,,Historical Society of Washington DC,801 K STREET NW,398009.93,137196.59,-77.02294275,38.90262211,238956
-77.041473887565445,38.892799844291496,29,ART MUSEUM OF THE AMERICAS,,Art Museum of the Americas,201 18TH STREET NW,396402.23,136105.98,-77.0414716,38.89279239,294191
-77.025990248282298,38.88881612787042,30,SMITHSONIAN INSTITUTION - CASTLE,SMITHSONIAN CASTLE,Smithsonian Castle,1000 JEFFERSON DRIVE SW,397745.35,135663.26,-77.02598796,38.88880868,293187
-77.023286184913061,38.896986480912894,31,INTERNATIONAL SPY MUSEUM,SPY MUSEUM,International Spy Museum,800 F STREET NW,397980.18,136570.17,-77.02328389,38.89697903,238378
-77.046388736276967,38.899817315669075,32,LUTHER W. BRADY ART GALLERY,GEORGE WASHINGTON UNIVERISTY LUTHER W. BRADY ART GALLERY,Luther W. Brady Art Gallery,805 21ST STREET NW,395976.25,136885.18,-77.04638644,38.89980986,240947
-77.041418200489488,38.896353756071008,33,OCTAGON HOUSE,OCTAGON MUSEUM,Octagon House,1799 NEW YORK AVENUE NW,396407.24,136500.49,-77.04141591,38.8963463,218490
-77.016618008866999,38.891213885397335,34,NATIONAL GALLERY OF ART - EAST BUILDING,,National Gallery of Art - East Building,,398558.51,135929.24,-77.016616,38.891206,293209
-77.02290830077898,38.891261015825769,35,NATIONAL GALLERY OF ART SCULPTURE GARDEN,,National Gallery of Art Sculpture Garden,,398012.8,135934.59,-77.022906,38.891254,293258
-77.034159149966655,38.908363703886039,36,U.S. DAUGHTERS OF 1812 LIBRARY AND MUSEUM,,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,397037.45,137833.43,-77.03415685,38.90835625,240224
-77.019924605483851,38.891306064294881,37,NATIONAL GALLERY OF ART - WEST BUILDING,,National Gallery of Art - West Building,,398271.65,135939.53,-77.019922,38.891299,293249
-77.029991025443877,38.891206893103025,38,NATIONAL MUSEUM OF AMERICAN HISTORY,,National Museum of American History,,397398.34,135928.76,-77.029989,38.891199,293200
-77.038155441948618,38.905197113049624,39,NATIONAL GEOGRAPHIC MUSEUM,EXPLORERS HALL,National Geographic Museum,1145 17TH STREET NW,396690.69,137482.05,-77.03815314,38.90518966,290192
-77.022382295525887,38.894445937654091,40,NAVAL HERITAGE CENTER,NAVAL HERITAGE CENTER,Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,398058.52,136288.13,-77.02238001,38.89443849,279889
-77.038198902359184,38.900033778952206,41,DECATUR HOUSE MUSEUM,,Decatur House Museum,748 JACKSON PLACE NW,396686.68,136908.88,-77.03819661,38.90002633,293257
-77.045927481047841,38.908391019417515,42,O STREET MUSEUM FOUNDATION,O STREET MUSEUM,O Street Museum,2020 O STREET NW,396016.74,137836.91,-77.04592519,38.90838357,243057
-77.004667103510982,38.93776654366723,43,THE SAINT JOHN PAUL II NATIONAL SHRINE,,The Saint John Paul II National Shrine,3900 HAREWOOD ROAD NE,399595.57,141096.85,-77.00466482,38.93775908,288031
-76.995008508572454,38.932840791103416,44,AMERICAN POETRY MUSEUM,,American Poetry Museum,716 MONROE STREET NE,400432.98,140550.05,-76.99500622,38.93283333,309744
-76.96989266812075,38.91241055669073,45,THE NATIONAL BONSAI AND PENJING MUSEUM,,The National Bonsai and Penjing Museum,3501 NEW YORK AVENUE NE,402611.37,138282.54,-76.96989039,38.9124031,293238
-76.995306316943967,38.873042891617438,46,NATIONAL MUSEUM OF UNITED STATES NAVY,,National Museum of United States Navy,736 SICARD STREET SE,400407.5,133912,-76.99530404,38.87303544,311896
-77.031084324350033,38.898048914266845,47,ARMENIAN GENOCIDE MUSEUM AND MEMORIAL,,Armenian Genocide Museum and Memorial,1334 G STREET NW,397303.75,136688.31,-77.03108204,38.89804146,240658
-77.035506602617389,38.932438147262538,48,POWHATAN MUSEUM,,Powhatan Museum,1519 MONROE STREET NW,396921.62,140505.94,-77.0355043,38.93243069,234557
-77.086853062962291,38.939099665114803,49,AMERICAN UNIVERSITY MUSEUM AT THE KATZEN ARTS CENTER,AMERICAN UNIVERSITY MUSEUM,American University Museum at the Katzen Arts Center, 3500 NEBRASKA AVENUE NW,392470.36,141248.41,-77.086851,38.939092,223996
-77.032805544844621,38.891252529642635,50,NATIONAL MUSUEM OF AFRICAN AMERICAN HISTORY AND CULTURE,,National Museum of African American History and Culture,1400 CONSTITUTION AVENUE NW,397154.17,135933.91,-77.03280325,38.89124508,310702
-77.051706029314659,38.913861534022509,51,WOODROW WILSON HOUSE,,Woodrow Wilson House,2340 S STREET NW,395515.89,138444.45,-77.05170373,38.91385408,218994
-77.062988086658947,38.911494550013018,52,TUDOR PLACE,,Tudor Place,1644 31ST STREET NW,394537.25,138182.31,-77.06298578,38.9114871,297689
-77.003758449746144,38.892194667876716,53,SEWALL-BELMONT,SEWALL-BELMONT HOUSE AND MUSEUM,Sewall-Belmont,144 CONSTITUTION AVENUE NE,399674.14,136037.99,-77.00375617,38.89218722,286201
-77.011770692712162,38.941707803294285,54,LINCOLN'S COTTAGE,ARMED FORCES RETIREMENT HOME BUILDING 12,Lincoln's Cottage,LINCOLN''S COTTAGE,398979.76,141534.42,-77.0117684,38.94170034,292871
-77.039090348598762,38.89913832314096,55,RENWICK GALLERY,,Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,396609.31,136809.51,-77.03908805,38.89913087,294185
-77.016631854984681,38.888282827854908,56,NATIONAL MUSEUM OF THE AMERICAN INDIAN,,National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,398557.25,135603.87,-77.01662957,38.88827538,294429
-77.008191239364621,38.898146359940014,57,NATIONAL POSTAL MUSEUM,,National Postal Museum,2 MASSACHUSETTS AVENUE NE,399289.64,136698.7,-77.00818895,38.89813891,293217
-77.019849978949537,38.888212420212376,58,NATIONAL AIR AND SPACE MUSEUM,,National Air and Space Museum,NATIONAL AIR AND SPACE MUSEUM,398278.05,135596.11,-77.01984769,38.88820497,301565
-77.02550918302255,38.887962149498406,59,NATIONAL MUSEUM OF AFRICAN ART,,National Museum of African Art,950 INDEPENDENCE AVENUE SW,397787.06,135568.45,-77.02550689,38.8879547,293262
-77.025956666258423,38.891224074409308,60,NATIONAL MUSEUM OF NATURAL HISTORY,,National Museum of Natural History,NATIONAL MUSEUM OF NATURAL HISTORY,397748.34,135930.56,-77.02595438,38.89121662,293188
-77.009561442288586,38.898125806819479,61,NATIONAL GUARD MEMORIAL MUSEUM,,National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,399170.78,136696.43,-77.00955916,38.89811835,238009
-77.038184695837387,38.920226708570432,62,MERIDIAN INTERNATIONAL CENTER,MERIDIAN HOUSE INTERNATIONAL,Meridian International Center,1630 CRESCENT PLACE NW,396688.85,139150.46,-77.0381824,38.92021925,235803
-77.02098366978916,38.924536501809214,63,HOWARD UNIVERSITY GALLERY OF ART,,Howard University Gallery of Art,2455 6TH STREET NW,398180.62,139628.4,-77.02098138,38.92452904,188381
-77.019699192926595,38.922360224749909,64,HOWARD UNIVERSITY MUSEUM,,Howard University Museum,500 HOWARD PLACE NW,398291.95,139386.79,-77.0196969,38.92235277,243398
-77.088780993666305,38.921911974991289,65,KREEGER MUSEUM,,Kreeger Museum,2401 FOXHALL ROAD NW,392301.36,139340.59,-77.08877868,38.92190452,271251
-77.019588788870422,38.899110610966858,66,GERMAN-AMERICAN HERITAGE MUSEUM,,German-American Heritage Museum,719 6TH STREET NW,398300.97,136805.89,-77.0195865,38.89910316,238949
-77.022962834025549,38.88841426795473,67,HIRSHHORN MUSEUM AND SCULPTURE GARDEN,,Hirshhorn Museum and Sculpture Garden,,398007.99,135618.58,-77.022961,38.888407,294428
-77.026877230652303,38.888565944614967,68,S. DILLON RIPLEY CENTER,,S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,397668.39,135635.51,-77.02687494,38.88855849,308882
-77.040207061985214,38.894826540139206,69,AMERICAN RED CROSS MUSEUM,,American Red Cross Museum,430 17TH STREET NW,396512.23,136330.91,-77.04020477,38.89481909,300987
-76.976784677630434,38.856582663691576,70,ANACOSTIA COMMUNITY MUSEUM,,Anacostia Community Museum,1901 FORT PLACE SE,402015.21,132085.04,-76.9767824,38.85657522,286524
-77.026446266782145,38.887961040232184,71,ARTHUR M. SACKLER GALLERY,,Arthur M. Sackler Gallery,1050 INDEPENDENCE AVENUE SW,397705.76,135568.35,-77.02644398,38.88795359,293191
-77.019352340438232,38.89313224780026,72,NEWSEUM,,Newseum,555 PENNSYLVANIA AVENUE NW,398321.34,136142.24,-77.01935005,38.8931248,297641
-77.017553525435176,38.897762562776357,73,NATIONAL BUILDING MUSEUM,,National Building Museum,401 F STREET NW,398477.49,136656.21,-77.01755124,38.89775511,242924
-77.032688531631095,38.886688737735305,74,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,,United States Holocaust Memorial Museum,100 RAOUL WALLENBERG PLACE SW,397164.14,135427.29,-77.03268624,38.88668129,293186
-77.035828882236089,38.913700016409727,75,HOUSE OF THE TEMPLE,,House of the Temple,1733 16TH STREET NW,396892.86,138425.86,-77.03582659,38.91369256,242883
-77.036036653441926,38.925552300776985,76,MEXICAN CULTURAL INSTITUTE,,Mexican Cultural Institute,2829 16TH STREET NW,396875.36,139741.57,-77.03603436,38.92554484,235878
-77.02285925173544,38.89285370583567,77,NATIONAL ARCHIVES,,National Archives,700 PENNSYLVANIA AVENUE NW,398017.1,136111.39,-77.02285696,38.89284625,293251
-77.039998741090756,38.893965861891452,78,DAUGHTERS OF THE AMERICAN REVOLUTION MUSEUM,,Daughters of the American Revolution Museum,1776 D STREET NW,396530.26,136235.36,-77.03999645,38.89395841,279384
-77.042602570106865,38.894452834587128,79,INTERIOR MUSEUM,DEPARTMENT OF THE INTERIOR MUSEUM,Interior Museum,1849 C STREET NW,396304.4,136289.52,-77.04260027,38.89444538,293214
-76.985179441956092,38.863389443961161,80,FREDERICK DOUGLASS NATIONAL HISTORIC SITE,,Frederick Douglass National Historic Site,1411 W STREET SE,401286.45,132840.49,-76.98517717,38.863382,293207
-77.030865647586225,38.908175805465028,81,MARY BETHUNE COUNCIL HOUSE,BETHUNE MEMORIAL MUSEUM,Mary Bethune Council House,1318 VERMONT AVENUE NW,397323.1,137812.47,-77.03086335,38.90816835,225385
-77.025798845816581,38.896590395639613,82,FORD'S THEATRE,,Ford's Theatre,511 10TH STREET NW,397762.2,136526.26,-77.02579655,38.89658294,239829
-77.026201113335588,38.896775518105663,83,PETERSEN HOUSE,,Petersen House,516 10TH STREET NW,397727.31,136546.82,-77.02619882,38.89676807,239374
-76.994932003142438,38.905783462255705,84,GALLAUDET UNIVERSITY MUSEUM,CHAPEL HALL,Gallaudet University Museum,800 FLORIDA AVENUE NE,400439.78,137546.46,-76.99492972,38.90577601,288964
